Date,Open,High,Low,Close,Adj Close,Volume
2002-02-20,18.268200,19.691099,18.245199,19.002600,17.911358,2351049
2002-02-21,19.507500,19.943501,19.278000,19.484501,18.365585,1240948
2002-02-22,19.254999,20.104200,19.163200,19.943501,18.798227,908020
2002-02-25,19.874701,19.966499,19.553400,19.576300,18.452114,395880
2002-02-26,19.737000,20.287800,19.622200,19.989401,18.841490,595730
2002-02-27,20.150101,21.320499,19.966499,20.333700,19.166019,3489367
2002-02-28,19.737000,21.573000,18.589500,18.773100,17.695038,4910407
2002-03-01,19.163200,19.759899,19.048500,19.369801,18.257471,903312
2002-03-04,19.989401,20.517300,19.668100,19.851700,18.711697,607652
2002-03-05,20.287800,20.930401,20.104200,20.861500,19.663509,2218443
2002-03-06,20.884501,21.481199,20.425501,20.746799,19.555395,3397141
2002-03-07,21.068100,21.068100,20.540199,20.586100,19.403925,715488
2002-03-08,20.723801,20.723801,20.081200,20.127100,18.971279,222922
2002-03-11,20.517300,20.655001,19.782900,19.897600,18.754963,197015
2002-03-12,20.104200,20.104200,19.278000,19.323900,18.214207,351527
2002-03-13,19.415701,19.691099,18.841900,19.278000,18.170942,166307
2002-03-14,19.323900,19.461599,18.819000,19.002600,17.911358,381556
2002-03-15,19.232100,19.530399,18.979601,19.186199,18.084412,498384
2002-03-18,19.737000,19.737000,19.048500,19.117300,18.019472,257904
2002-03-19,19.507500,19.714001,18.451799,18.589500,17.521982,465323
2002-03-20,18.864901,19.002600,18.497700,18.589500,17.521982,280447
2002-03-21,18.864901,18.864901,18.520599,18.566500,17.500301,153784
2002-03-22,18.796000,18.819000,18.199301,18.337000,17.283979,195850
2002-03-25,null,null,null,null,null,null
2002-03-26,18.360001,18.543600,17.809200,17.855101,16.829758,184758
2002-03-27,18.084600,18.176399,17.900999,17.946899,16.916283,296381
2002-03-28,null,null,null,null,null,null
2002-03-29,null,null,null,null,null,null
2002-04-01,18.360001,19.484501,17.694401,17.763300,16.743227,196458
2002-04-02,17.717400,17.900999,16.983000,17.005899,16.029324,455534
2002-04-03,16.983000,17.419001,16.524000,16.661699,15.704886,313553
2002-04-04,16.959999,18.038700,16.799400,17.602600,16.591757,432543
2002-04-05,17.900999,18.130501,17.464899,17.533800,16.526905,173970
2002-04-08,17.900999,18.222300,16.799400,16.983000,16.007736,214980
2002-04-09,17.441999,17.900999,16.983000,17.281300,16.288904,218081
2002-04-10,17.441999,17.441999,16.592800,16.983000,16.007736,377619
2002-04-11,17.648500,18.222300,17.441999,17.740299,16.721540,442120
2002-04-12,17.441999,17.671499,17.166599,17.373100,16.375435,354329
2002-04-15,17.946899,17.946899,17.212500,17.373100,16.375435,247675
2002-04-16,17.304300,17.671499,17.258400,17.350201,16.353851,215567
